locnumber,site,year,date,hourfromnoon,counts
12,1,1990,28,0.800,50
12,1,1990,29,0.117,41
12,1,1990,30,-0.167,43
12,1,1990,31,-0.483,45
12,1,1990,32,-2.083,29
12,1,1990,35,-1.183,19
12,1,1990,38,0.600,27
12,1,1990,42,0.433,37
12,1,1991,22,-0.333,61
12,1,1991,23,-0.433,52
12,1,1991,26,0.100,34
12,1,1991,27,-0.033,32
12,1,1991,29,-0.267,48
12,1,1991,30,-0.017,34
12,1,1991,31,0.017,27
12,1,1991,32,0.117,20
12,1,1992,27,1.000,57
12,1,1992,27,-1.550,61
12,1,1992,28,0.900,56
12,1,1992,29,0.367,52
12,1,1992,30,-0.583,47
12,1,1992,32,-0.733,41
12,1,1992,34,-0.433,41
12,1,1992,35,-0.183,29
12,1,1992,37,-0.267,17
12,1,1993,24,-0.417,50
12,1,1993,25,-0.283,18
12,1,1993,26,-0.333,0
12,1,1993,27,-0.917,10
12,1,1993,28,-0.067,20
12,1,1993,34,0.517,21
12,1,1993,36,0.533,36
12,1,1994,22,0.400,42
12,1,1994,23,0.183,60
12,1,1994,24,0.167,54
12,1,1994,38,0.600,27
12,1,1994,39,0.150,34
12,1,1994,40,0.150,34
12,1,1995,17,-0.100,61
12,1,1995,18,0.000,61
12,1,1995,19,-0.483,54
12,1,1995,20,-0.217,47
12,1,1995,21,-0.283,47
12,1,1995,22,-0.283,46
12,1,1995,23,-0.900,45
12,1,1995,25,1.567,48
12,1,1996,17,-0.067,48
12,1,1996,18,-0.267,53
12,1,1996,19,0.150,54
12,1,1996,22,-0.083,18
12,1,1996,24,0.117,26
12,1,1997,19,-0.600,49
12,1,1997,19,0.017,61
12,1,1997,21,-0.133,49
12,1,1997,23,0.483,54
12,1,1997,24,0.317,50
12,1,1997,25,0.017,18
12,1,1997,27,-0.100,32
12,1,1998,17,-0.283,36
12,1,1998,18,-0.450,34
12,1,1998,19,-1.083,45
12,1,1998,22,1.200,57
12,1,1998,23,0.517,56
12,1,1998,25,0.250,59
12,1,1999,17,-0.117,61
12,1,1999,18,-0.350,68
12,1,1999,19,-0.250,54
12,1,1999,23,-0.867,37
12,1,1999,24,-0.533,68
12,1,1999,25,-0.833,44
12,1,1999,26,0.850,53
12,1,2000,15,-1.500,28
12,1,2000,16,-0.050,42
12,1,2000,17,-0.050,32
12,1,2000,18,-0.283,49
12,1,2000,19,-0.150,49
12,1,2000,20,-0.200,51
12,1,2001,18,0.133,31
12,1,2001,20,1.050,26
12,1,2001,22,-0.067,29
12,1,2001,23,0.150,53
12,1,2001,25,-0.383,43
12,1,2002,14,0.583,89
12,1,2002,15,0.333,65
12,1,2002,16,0.400,83
12,1,2002,17,0.617,32
12,1,2002,18,-0.467,42
12,1,2002,19,-0.533,53
13,2,1990,28,0.983,43
13,2,1990,29,-0.083,33
13,2,1990,30,-0.050,32
13,2,1990,31,-0.767,20
13,2,1990,32,-2.017,31
13,2,1990,35,-1.417,21
13,2,1990,38,0.700,26
13,2,1990,42,0.183,29
13,2,1991,22,-0.217,26
13,2,1991,23,-0.300,25
13,2,1991,24,1.050,18
13,2,1991,26,-0.083,28
13,2,1991,27,0.067,23
13,2,1991,28,-0.133,22
13,2,1991,29,-0.150,22
13,2,1991,30,-0.217,27
13,2,1991,31,0.117,28
