copy,tr,animal,litter,tissue
317,1,1,1,heart
302,2,1,1,heart
298,3,1,1,heart
309,4,1,1,heart
281,5,1,1,heart
303,6,1,1,heart
261,1,2,1,heart
298,2,2,1,heart
246,3,2,1,heart
274,4,2,1,heart
243,5,2,1,heart
262,6,2,1,heart
228,1,3,1,heart
252,2,3,1,heart
245,3,3,1,heart
243,4,3,1,heart
234,5,3,1,heart
223,6,3,1,heart
330,1,4,1,heart
292,2,4,1,heart
316,3,4,1,heart
299,4,4,1,heart
306,5,4,1,heart
293,6,4,1,heart
375,1,1,2,heart
393,2,1,2,heart
366,3,1,2,heart
399,4,1,2,heart
359,5,1,2,heart
350,6,1,2,heart
341,1,2,2,heart
298,2,2,2,heart
319,3,2,2,heart
349,4,2,2,heart
320,5,2,2,heart
346,6,2,2,heart
370,1,3,2,heart
342,2,3,2,heart
371,3,3,2,heart
352,4,3,2,heart
388,5,3,2,heart
389,6,3,2,heart
394,1,4,2,heart
427,2,4,2,heart
404,3,4,2,heart
450,4,4,2,heart
397,5,4,2,heart
377,6,4,2,heart
259,1,1,3,heart
265,2,1,3,heart
248,3,1,3,heart
241,4,1,3,heart
246,5,1,3,heart
263,6,1,3,heart
170,1,2,3,heart
129,2,2,3,heart
144,3,2,3,heart
141,4,2,3,heart
140,5,2,3,heart
153,6,2,3,heart
195,1,3,3,heart
222,2,3,3,heart
195,3,3,3,heart
184,4,3,3,heart
216,5,3,3,heart
247,6,3,3,heart
347,1,4,3,heart
314,2,4,3,heart
329,3,4,3,heart
304,4,4,3,heart
336,5,4,3,heart
307,6,4,3,heart
113,1,1,4,heart
92,2,1,4,heart
90,3,1,4,heart
107,4,1,4,heart
101,5,1,4,heart
100,6,1,4,heart
84,1,2,4,heart
82,2,2,4,heart
68,3,2,4,heart
78,4,2,4,heart
76,5,2,4,heart
77,6,2,4,heart
99,1,3,4,heart
87,2,3,4,heart
99,3,3,4,heart
92,4,3,4,heart
86,5,3,4,heart
103,6,3,4,heart
90,1,4,4,heart
95,2,4,4,heart
75,3,4,4,heart
97,4,4,4,heart
105,5,4,4,heart
88,6,4,4,heart
438,1,1,5,heart
457,2,1,5,heart
379,3,1,5,heart
451,4,1,5,heart
429,5,1,5,heart
434,6,1,5,heart
387,1,2,5,heart
413,2,2,5,heart
377,3,2,5,heart
391,4,2,5,heart
422,5,2,5,heart
400,6,2,5,heart
219,1,3,5,heart
247,2,3,5,heart
243,3,3,5,heart
243,4,3,5,heart
236,5,3,5,heart
265,6,3,5,heart
445,1,4,5,heart
409,2,4,5,heart
432,3,4,5,heart
435,4,4,5,heart
427,5,4,5,heart
458,6,4,5,heart
201,1,1,6,heart
208,2,1,6,heart
209,3,1,6,heart
221,4,1,6,heart
225,5,1,6,heart
202,6,1,6,heart
178,1,2,6,heart
180,2,2,6,heart
180,3,2,6,heart
166,4,2,6,heart
187,5,2,6,heart
191,6,2,6,heart
141,1,3,6,heart
172,2,3,6,heart
149,3,3,6,heart
167,4,3,6,heart
150,5,3,6,heart
159,6,3,6,heart
319,1,4,6,heart
310,2,4,6,heart
277,3,4,6,heart
347,4,4,6,heart
301,5,4,6,heart
322,6,4,6,heart
233,1,1,7,heart
242,2,1,7,heart
256,3,1,7,heart
224,4,1,7,heart
258,5,1,7,heart
232,6,1,7,heart
303,1,2,7,heart
335,2,2,7,heart
286,3,2,7,heart
284,4,2,7,heart
301,5,2,7,heart
305,6,2,7,heart
258,1,3,7,heart
277,2,3,7,heart
246,3,3,7,heart
289,4,3,7,heart
253,5,3,7,heart
217,6,3,7,heart
168,1,4,7,heart
168,2,4,7,heart
164,3,4,7,heart
161,4,4,7,heart
173,5,4,7,heart
155,6,4,7,heart
141,1,1,8,heart
142,2,1,8,heart
128,3,1,8,heart
137,4,1,8,heart
143,5,1,8,heart
149,6,1,8,heart
170,1,2,8,heart
166,2,2,8,heart
185,3,2,8,heart
160,4,2,8,heart
150,5,2,8,heart
168,6,2,8,heart
139,1,3,8,heart
126,2,3,8,heart
133,3,3,8,heart
126,4,3,8,heart
117,5,3,8,heart
